iter	Passed	Remaining
767	14788	4467
768	14806	4447
769	14823	4427
770	14840	4407
771	14858	4388
772	14876	4368
773	14893	4348
774	14912	4329
775	14930	4309
776	14947	4290
777	14965	4270
778	14982	4250
779	15000	4230
780	15017	4211
781	15035	4191
782	15053	4171
783	15071	4152
784	15091	4133
785	15111	4114
786	15130	4095
787	15149	4075
788	15167	4056
789	15187	4037
790	15205	4017
791	15224	3998
792	15242	3978
793	15261	3959
794	15279	3940
795	15298	3920
796	15316	3901
797	15343	3884
798	15366	3865
799	15384	3846
800	15402	3826
801	15421	3807
802	15440	3788
803	15458	3768
804	15477	3749
805	15496	3729
806	15514	3710
807	15535	3691
808	15555	3672
809	15575	3653
810	15594	3634
811	15613	3615
812	15632	3595
813	15650	3576
814	15668	3556
815	15686	3537
816	15703	3517
817	15723	3498
818	15741	3478
819	15762	3460
820	15781	3440
821	15799	3421
822	15817	3401
823	15834	3382
824	15852	3362
825	15870	3343
826	15888	3323
827	15907	3304
828	15926	3285
829	15944	3265
830	15965	3246
831	15983	3227
832	16001	3208
833	16020	3188
834	16038	3169
835	16057	3149
836	16075	3130
837	16093	3111
838	16110	3091
839	16127	3071
840	16145	3052
841	16165	3033
842	16183	3014
843	16201	2994
844	16218	2975
845	16236	2955
846	16256	2936
847	16278	2917
848	16301	2899
849	16320	2880
850	16339	2860
851	16358	2841
852	16377	2822
853	16395	2802
854	16413	2783
855	16431	2764
856	16449	2744
857	16469	2725
858	16489	2706
859	16508	2687
860	16527	2668
861	16545	2648
862	16564	2629
863	16585	2610
864	16605	2591
865	16623	2572
866	16643	2553
867	16661	2533
868	16680	2514
869	16699	2495
870	16718	2476
871	16737	2456
872	16756	2437
873	16775	2418
874	16795	2399
875	16814	2380
876	16833	2360
877	16853	2341
878	16871	2322
879	16889	2303
880	16908	2283
881	16926	2264
882	16944	2245
883	16962	2225
884	16981	2206
885	17001	2187
886	17018	2168
887	17036	2148
888	17055	2129
889	17073	2110
890	17091	2090
891	17108	2071
892	17125	2051
893	17142	2032
894	17159	2013
895	17177	1993
896	17196	1974
897	17214	1955
898	17231	1935
899	17248	1916
900	17265	1897
901	17283	1877
902	17300	1858
903	17317	1839
904	17334	1819
905	17351	1800
906	17368	1780
907	17386	1761
908	17403	1742
909	17423	1723
910	17440	1703
911	17457	1684
912	17474	1665
913	17492	1645
914	17509	1626
915	17526	1607
916	17543	1587
917	17560	1568
918	17577	1549
919	17595	1530
920	17612	1510
921	17632	1491
922	17650	1472
923	17667	1453
924	17685	1433
925	17706	1414
926	17724	1395
927	17742	1376
928	17760	1357
929	17777	1338
930	17796	1318
931	17813	1299
932	17833	1280
933	17850	1261
934	17867	1242
935	17885	1222
936	17902	1203
937	17919	1184
938	17937	1165
939	17954	1146
940	17972	1126
941	17989	1107
942	18006	1088
943	18024	1069
944	18043	1050
945	18061	1030
946	18078	1011
947	18095	992
948	18112	973
949	18130	954
950	18147	935
951	18164	915
952	18181	896
953	18198	877
954	18216	858
955	18233	839
956	18253	820
957	18271	801
958	18288	781
959	18305	762
960	18322	743
961	18340	724
962	18357	705
963	18374	686
964	18391	667
965	18409	647
966	18426	628
967	18444	609
968	18463	590
969	18481	571
970	18498	552
971	18516	533
972	18533	514
973	18550	495
974	18567	476
975	18584	457
976	18602	437
977	18619	418
978	18636	399
979	18654	380
980	18674	361
981	18691	342
982	18709	323
983	18726	304
984	18744	285
985	18761	266
986	18779	247
987	18797	228
988	18815	209
989	18834	190
990	18851	171
991	18872	152
992	18889	133
993	18907	114
994	18925	95
995	18942	76
996	18959	57
997	18976	38
998	18993	19
999	19010	0
